date,cases,deaths,cases_smoothed,deaths_smoothed,cfr,air temperature
2021-05-05,20854.0,188.0,14616.0,146.42857142857142,0.010018375166158416,8.019671111111112
2021-05-06,17168.0,148.0,14424.142857142857,142.57142857142858,0.009884221889886996,8.596791111111113
2021-05-07,15477.0,152.0,14175.714285714286,137.28571428571428,0.009684571198226341,10.646604444444444
2021-05-08,12046.0,96.0,13572.0,128.14285714285714,0.009441707717569785,13.281755555555558
2021-05-09,5320.0,69.0,12946.57142857143,120.0,0.009268863240129764,15.004853333333333
2021-05-10,7385.0,103.0,11875.42857142857,109.42857142857143,0.00921470503320181,16.04858666666667
2021-05-11,16754.0,141.0,10754.42857142857,99.85714285714286,0.009285211407924975,15.974400000000003
2021-05-12,16476.0,131.0,10262.42857142857,97.57142857142857,0.009507635341119479,14.146613333333335
2021-05-13,9670.0,74.0,10113.57142857143,94.57142857142857,0.009350942863196552,12.419573333333334
2021-05-14,7630.0,85.0,9807.285714285714,91.28571428571429,0.009307948900962842,11.63237333333333
2021-05-15,8602.0,80.0,9174.0,83.71428571428571,0.009125167398548692,11.563839999999999
2021-05-16,4278.0,48.0,8436.285714285714,75.57142857142857,0.008957902936295593,11.578719999999999
2021-05-17,5241.0,80.0,8258.714285714286,73.85714285714286,0.00894293473560395,11.450719999999999
2021-05-18,12321.0,88.0,8250.285714285714,71.42857142857143,0.008657708823936834,11.507573333333335
2021-05-19,11312.0,74.0,7852.0,66.42857142857143,0.008460082963394223,11.770346666666669
2021-05-20,8427.0,62.0,7526.571428571428,62.857142857142854,0.008351364688911666,11.827622222222224
2021-05-21,7571.0,68.0,7035.428571428572,54.714285714285715,0.007776965562053281,11.947579999999999
2021-05-22,5814.0,45.0,5799.285714285715,49.42857142857143,0.008523217144968592,12.669755555555557
2021-05-23,2000.0,23.0,5204.285714285715,47.57142857142857,0.009140818007136974,12.340582222222224
2021-05-24,1803.0,23.0,4974.142857142857,44.857142857142854,0.009018064849651052,11.82292888888889
2021-05-25,3668.0,51.0,4629.142857142857,40.142857142857146,0.008671768917417604,11.603040000000002
2021-05-26,7147.0,61.0,4325.428571428572,37.57142857142857,0.008686174780368584,11.791028888888892
2021-05-27,6816.0,43.0,4269.0,36.714285714285715,0.008600207475822375,11.484906666666665
2021-05-28,5156.0,35.0,4360.0,37.0,0.008486238532110092,12.322506666666666
2021-05-29,3688.0,27.0,4565.285714285715,33.285714285714285,0.007291047344869668,13.520746666666664
2021-05-30,1605.0,17.0,4185.714285714285,29.142857142857142,0.0069624573378839595,15.050666666666666
2021-05-31,2440.0,25.0,3631.5714285714284,25.571428571428573,0.007041422446009206,16.469920000000002
2021-06-01,5105.0,25.0,3219.714285714286,22.571428571428573,0.0070103824651699355,18.147039999999997
2021-06-02,4490.0,32.0,3022.285714285714,21.0,0.0069483834373227455,19.458193333333334
2021-06-03,2937.0,18.0,2954.1428571428573,20.0,0.006770153295613908,20.04232
2021-06-04,2273.0,14.0,2850.285714285714,18.142857142857142,0.0063652766639935845,19.863866666666667
